listing_id,review_id,date,comments
748847,27199464,2015-02-28T00:00:00.000Z,"Lägenheten var jättefin och hade allt man kan önska sig. Fullt utrustat kök, supers snabbt  Wifi samt en stor tv. Lägenheten ligger i ett lugnt område, men ändå centralt och nära till allt.
Vi bodde där i två och en halv månad, två vuxna och två barn (6 och 8 år) och det fungerade alldeles utmärkt. 
Heath är en perfekt värd, trevlig och hjälpsam. Även om vi aldrig träffade honom, hade vi väldigt smidig kommunikation. Han svarade alltid snabbt på alla våra frågor.
Jag kan verkligen rekommendera Heaths boende till alla som vill besöka Stockholm.
Annika Johansson"
302496,22504636,2014-11-08T00:00:00.000Z,"Good location if you want to avoid public transport while visiting the city centre, museums, restaurants and do shopping. The apartment was more than photos can ever display ;) it was spacious, had The ambience! The whole place is fully equipped, from the kids department till kitchen. Seta as host was very helpful and her warm welcome gave a good start to our stay. We were three adults and two kids (10m/5y) and all that comes along."
1304431,11860423,2014-04-17T00:00:00.000Z,We had a wonderful time in Madeleine's cozy apartment in Södermalm. The flat is situated in a calm area and equipped with everything you'll need. Madeleine was an excellent host and we immediately felt at home. We'd be happy to return. Don't miss the Indian restaurant and the organic shop next door ;)
1248490,45943991,2015-09-07T00:00:00.000Z,"Apartment was as described. Anna met us on schedule and was very nice and accommodating, taking time to talk to us about Stockholm and provide advice. Apartment is in cool neighborhood with lots of cool non-touristy shops and restaurants. Metro is near by and provides convenient access to downtown. Very quiet area - easy to sleep! Overall good experience, would recommend."
1182616,303381080,2018-08-07T00:00:00.000Z,"Peter is a very kind person who is  ready to help you. And give you what you needed help.  He gave me flexible check in and check out . The house is in good place, walking distance to underground station and department store / supermarket. Strongly recommend to you."
608672,106240151,2016-10-05T00:00:00.000Z,The bed was comfortable a d the building was very cool and in a great part of town.
581243,17667639,2014-08-16T00:00:00.000Z,"Ganz tolles, sauberes Apartment in ruhiger, zentraler Lage. 10 Minuten zum Vasa-Museum, ca. 20 Fußminuten zum Central. Einkaufmöglichkeit direkt im Haus -> im Erdgeschoss befindet sich eine rießige Mall, mit allem was das Herz begehrt...Lebensmittel Markt, Drogerien, etc. etc.
Freundlicher Gastgeber - danke Gabriel (Sohn von Edwin), für Deine Hilfe. Sehr gute Weg-Beschreibung  vorab per Email von Edwin bekommen. Wir empfehlen Edwin hiermit uneingeschränkt weiter. TOP, 1 A
Wir hatten einen Traumurlaub in Stockholm"
1255668,145645278,2017-04-19T00:00:00.000Z,"The apartment is light, sunny, and comfortable. The sunsets and views of the water are very pretty. It's very pleasant to walk around the quiet neighborhood. Perfect for a family traveling with small children as the apartment has a very accommodating set-up for the little ones. The grocery is nearby and very convenient. It's just a short walk to the bus which took us to the center of the city within 15 minutes. Sandra was helpful and responded to communication quickly."
302496,250443247,2018-04-05T00:00:00.000Z,Fantastically beautiful apartment in a an amazing location.
299154,73643229,2016-05-09T00:00:00.000Z,En väldigt praktisk enkel liten lägenhet med ett riktigt bra centralt läge. Världen Daniel skötte sig utmärkt!
164448,33994596,2015-06-03T00:00:00.000Z,"Our experience in lidia's place was great! Very clean and she always is looking for make your stay perfect she is very helpful.
I recommend her place for sure!"
1205051,188147348,2017-08-28T00:00:00.000Z,"I was happy to deal with Viktor : he's quick, very effective and very kind.
The apartment is like the description : no surprise !
The place is very well located and quiet."
581243,298325686,2018-07-29T00:00:00.000Z,"Great, central location! Very clean. Excellent host"
755843,156342848,2017-05-30T00:00:00.000Z,Very good location and quiet zone. About 10mins walk to supermarket and other stores.
1234960,367259120,2019-01-04T00:00:00.000Z,Che casa fantastica..abbiamo trascorso con amici il periodo di (Website hidden by Airbnb) casa è molto calda e accogliente..finemente arredata e la sauna è davvero il top..grazie di tutto
1054406,98656649,2016-09-01T00:00:00.000Z,"Lieber Thomas, liebe Madeleine, herzlichen Dank für alles!! Wir hatten einen wunderschönen Urlaub bei Euch! Wir waren sehr beeindruckt von Eurer Persönlichkeit und Gastfreundschaft, dem geräumigen Appartement und der traumhaften Lage am See... So ruhig und idyllisch und trotzdem braucht man mit öffentlichen Verkehrsmitteln nicht lange bis in die City. Für unsere Tochter Ida war es der Himmel auf Erden, im Garten zu spielen, Trampolin zu springen und sich mit den Hasen zu beschäftigen!! Es hätte in jeder Hinsicht nicht besser sein können! Alles Liebe! Mark und Tanja"
1124388,52231178,2015-10-27T00:00:00.000Z,"We had a great time in Stockholm. The apartment was cosy and comfortable - exactly as per description. 
Carl was very friendly, flexible, helpful, and easy in communication. He gave us some information and tips for our stay in Stockholm. The bus stop and a small supermarket are just round the corner. It was just perfect - We can recommend this small apartment!
Doris"
1255668,266582011,2018-05-20T00:00:00.000Z,Great location and super clean and fresh apartment. Lovely almost rural area yet within easy distance to downtown Stockholm.
700113,61371427,2016-02-03T00:00:00.000Z,"This is a very pleasant place for a base for exploring Stockholm.  It's quiet with a view to a park, but it's central and close to the center and shops, the university, and public transportation.  Ilona is a very nice host.  I always try to stay here when I go to Stockholm!"
242188,86149260,2016-07-15T00:00:00.000Z,"Lidia is a wonderful host! Her apartment is very centrally located, clean, and just beautiful. She helped me plan my trip, gave me maps and information, and was always available if I had questions. I couldn't recommend staying here more!

The apartment itself is in the cool/trendy Sodermalm neighborhood, but in a very quiet residential area. It's only a 5 minute walk to a main train station, and a 5-10 minute walk to the subways and lots of restaurants. It is really the absolute best location to stay to see Stockholm, from what I could tell from my short stay there.

Thanks, Lidia, for making my short trip to Stockholm so great!"
164448,39412022,2015-07-23T00:00:00.000Z,"Lidia was a wonderful and accommodating host who made us feel at home, and the room is very comfortable and located in an excellent area of Stockholm. Highly recommend to anyone!"
1048260,6785754,2013-08-25T00:00:00.000Z,"Excellent, Annika has a beautiful flat in a great location. She is very friendly and accommodating. I'd recommend anyone to stay here!"
1262520,7287067,2013-09-14T00:00:00.000Z,The reservation was canceled 4 days before arrival. This is an automated posting.
1124388,30305375,2015-04-20T00:00:00.000Z,"It was great to be in the apartment of Carl. Nice place, good bed behind the white wall and even an extra bed for our son. Carl was in the house to welcome us and we had a great time. The house is on a small island quite close to the centre. On the first evening we rounded the island on a nice walk."
628555,209850378,2017-11-06T00:00:00.000Z,"Short stroll to public transport which is a must for exploring Stockholm. 
Breakfast, coffee and fikka are a must at AB Cafe! 
Property is perfect for a couple wanting to base themselves in a leafy suburb!"
1048260,123900875,2016-12-31T00:00:00.000Z,"I defiantly recommend staying at Annika's flat.

Annika's flat is a wonderful space with fantastic decoration. It was also perfectly clean and it was a pleasure to cook in the kitchen which has everything you need. 

The flat is very near an underground station which is two stops from city centre and so we found it very convenient for exploring Stockholm from.

The best thing about staying at Annika's was the tips she's gave us about what to do in Stockholm - we would never have known about Hellasgarden without her advice!

Annika's flat is excellent value for money, she replies to all messages very fast and is very friendly and her flat feels like a home away from home!

Thank you Annika!"
819676,271348171,2018-06-01T00:00:00.000Z,"This is an ideal place to stay. The bedroom I stayed in was small but comfortable with access to a private bath with a shower across the hall. Andy made me feel comfortable to use the living room and kitchen which allowed for lots of space.  The check in was well arranged. The place has an elevator and it’s a secure building. The neighbourhood is lively with restaurants and shopping as well as nightlife. It’s close to a metro and only 2 stops from Central Station. Andy gave good recommendations on things to do for a short stay in Stockholm. In spite of its central location, it was quiet in his place. A perfect place to stay."
581243,5466084,2013-07-01T00:00:00.000Z,Great host. He helped me with transportation going to my ship and provided all info i needed. Ed's apartment was also convenient and centrally located.
1128990,40374641,2015-07-30T00:00:00.000Z,"Bon accueil avec des explications claires sur les choses pratiques. Par contre, un peu trop peu d'informations sur la façon d'arriver à l'appart  ( transports publics )"
514210,107995373,2016-10-13T00:00:00.000Z,"We have felt very welcomed during our stay of almost seven weeks at Margareta's place. She had made sure we found our way to the flat and even asked someone to welcome us and show us around, as she couldn't be there. Margareta and her two children have been very kind and helpful. The room and the bathroom look like they do in the pictures. Everything has been very clean. 
It takes about 20 minutes to go to Stockholm central station. Therefore you have to take a bus for 10 minutes and the metro for another 10 minutes. It was very easy to find everything, as the bus station is also only 3 minutes away by walking from the flat.  
The flat is located in a family friendly neighbourhood. There is a supermarket very close, as well. 

We would definitely recommend staying at Margareta's place!"
900043,149106454,2017-05-02T00:00:00.000Z,Flat ideally located to discover the city!
628555,2092450,2012-08-25T00:00:00.000Z,Anna's place was so great. Very clean and nice. The king sized bed could be a separate vacation on its own. She went out of the way to show me the way around her home which was very nice. The neighbourhood is nice and quiet. Go right for it!
608672,16675740,2014-07-31T00:00:00.000Z,"The room is comparable to the whole of Stockholm: neat, convenient and lovely. Mr Büsselmann gave me a warm welcome and provided some helpful tourist information. 
Very trustworthy."
904739,14368776,2014-06-17T00:00:00.000Z,"Menaf is the nicest host ever. He welcomed us in a cool apartment designed in fancy 1970's style with everything a traveler needs: food in the fridge, romantic bed, nice window-view and large TV-room full with gadgets (if you need some). We found ourselves in the hip part of hip Sodermalm with an island-park, riverside bars and a beach five minutes' walk from the door. Highly recommended!"
536283,450701124,2019-05-10T00:00:00.000Z,"It's very very nice to stay in Paolo's apartment. Well located in Södermalm area (near medborgplatsen station), very clean, calm and bright, design and cosy... We had a great week ;))"
974175,81047594,2016-06-20T00:00:00.000Z,"The appartment of Jesper & Sofie is really beautifull, everything looks lovely and very stylish. There appliances are almost too good to be true (they have a golden Quooker and a dishwasher that opens when you knock friendly on its door) We felt at home right away and had a great time with our two young sons. The neighborhood is nice and calm with many cafes and small shops, the park nearby was perfect with a good playground. Communications were easy and there were lots of travel tips to help us out. We had a wonderfull time!"
