listing_id,review_id,date,comments
1173290,37278442,2015-07-06T00:00:00.000Z,"Tak for \"lån\" af jeres hjem, det var en skøn base for vores ophold i Stockholm. At bo i en lejlighed er perfekt når man rejser med mindre børn, og der var legetøj osv. klar til dem hvilket var et stort hit!Christian var den perfekte vært, trods han har ikke var fysisk tilstede, var han meget opmærksom på vores ankomst og ophold via mail. Og det fungerede upåklageligt at hente og aflevere nøglen i 7eleven!
De bedst anbefalinger herfra.. hvis vi skal til Stockholm en anden gang, vil vi gerne bo her igen!"
581243,7374431,2013-09-17T00:00:00.000Z,"Great location (two minutes from Karlaplan underground station), fast wi-fi, the flat is very clean, the mattress comfortable.
Edwin is a great host. 
So, five stars!"
915013,467916588,2019-06-11T00:00:00.000Z,A nice apartment between the students in Gärdet and fancy fancy Östermalm :) The cafe at the top of the road is great!
164448,293324526,2018-07-20T00:00:00.000Z,"Li was such a great host! Her place has a great location,  comfortable bed and she was so helpful!"
819676,242027387,2018-03-11T00:00:00.000Z,Everything went very fine at Andy & Vannie's. The apartment's situation is like perfect: very easy to get anywhere by walking or using public transportation. The apartment itself was clean and calm and it's very convenient to have your own bathroom during the stay. Both the room and the bathroom are at the entrance of the apartment so that you feel very independant during your stay. I would also add that both check-in & check-out were convenient as Andy & Vannie let me arrive and leave whenever it suited me best. Thanks!
916806,122242618,2016-12-22T00:00:00.000Z,"Het appartement ligt op de rand van een buitenwijk met mooi uitzicht. Het is niet groot maar schoon, compleet en perfect voor 2 personen. 15 minuten lopen naar de winkels en een goed Metronetwerk en dus prima. De 3 dagenkaart is een voordelige manier om rond te reizen door Stockholm en alle eilandjes te ontdekken. Om die redenen een goed adres!"
776012,90239377,2016-07-31T00:00:00.000Z,"We had an incredible stay here.  The apartment is literally steps away from Gamla Stan's main square, and could not be in a better location.  The house is spacious for the area (with a large living space and separate bedroom) and the hosts were great.  We could not have had a better stay."
647314,14767636,2014-06-26T00:00:00.000Z,"This may have been our most negative experience on AirBNB since I started using the service 4 years ago. Communication was extremely painful, the host was not accommodating and the burden of everything was generally on us.

She wanted precise hours of arrival and leaving – quite hard to do when you’ve only been to a city once. She had a complicated system of handing keys over, to the point that she expected us to learn it in person. Her listing describes a clean-up process that includes mopping floors, cleaning the (shared) bathroom and fridge, among others (she later clarified that was only for when she's out of town, but that's not what's on record), and a clean-up fee is not included.

Cancellation policy is strict. When we requested an emergency change, due in part to our mistake (misinformation about Midsummer schedules), she was unhelpful and irritable, accusing us of trying to do things outside AirBNB, to the point that we gave in and just paid for the unused night. Our last minute cancellation was directly linked to this type of behavior.

If you want a relaxed trip with no drama, please find another listing."
1184553,306923441,2018-08-13T00:00:00.000Z,Nice big room. Good for a couple. Good location.
1158893,178664414,2017-08-06T00:00:00.000Z,"Es war einfach toll. Angefangen von all den Informationen im Vorfeld über Sehenswürdigeiten, Tips über Restaurants und Orte die man aufuchen sollte über die perfekte Dokumentation, um zum Haus zu finden. Selbst als wir da waren wurde gefragt on alles in Ordnung sei oder ob man noch etwas brauche. Das Haus hat sofort zum Wohlfühlen eingeladen und jeder, immerhin fünf erwachsene Kinder und die Eltern, hat seinen Platz gefunden zum relaxen oder zum Plaudern. Einfach herrlich. Dass das Haus sauber und gepflegt war erklärt sich von selbst. Fazit: Toller Platz, um mit einer Familie einen winderschönen Urlaub zu verbringen und tolle Gastgeber."
1204621,531724888,2019-09-18T00:00:00.000Z,I book it for my mother and Nettan is nice person. My mom was happy and  very satisfied with accommodation. I'm recommend this. Thank you Nettan.
299154,427811359,2019-03-24T00:00:00.000Z,Apparemment très bien situé juste à côté d'une station principale du métro. Très petit mais ça suffit. Daniel est très réactif pour répondre aux messages et nous a attendu alors qu'on avait une heure de retard.
299154,5469144,2013-07-01T00:00:00.000Z,"Nice place in a great location. Lots of restaurants, bars and shops just around the corner. Daniel is an excellent host, supernice and very accommodating. Would certainly stay at his place again. Thanks for hosting us, Daniel!"
1124388,28177141,2015-03-19T00:00:00.000Z,"My friend and I had a great time staying at Carl's place. It was adorable and comfortable with lots of personal touches. We were very pleased to listen to some of his records! Also, Carl was an incredibly helpful host and great at communicating. I would definitely recommend this place to anyone looking to visit Stockholm."
274876,84811991,2016-07-09T00:00:00.000Z,Our stay was excellent. The apartment was comfortable and easy and Emma was supportive and helpful. We would definitely stay here again if we come back to Stockholm.
954832,457104821,2019-05-23T00:00:00.000Z,This was a great home base while we spent a couple days exploring Stockholm. It’s close to grocery and transit. The apartment was very clean. I really appreciated that! We had all the basics. A simple stove and all basics to make some simple dishes for during the times we didn’t eat out at a local restaurant. Having two beds made it more comfortable. Mikael was quick to respond to any questions.
1204621,20295060,2014-09-27T00:00:00.000Z,"I stayed in this room approximately 2 weeks when attending a course in KTH and liked it very much. The room as well as the whole apartment are beautiful and well-appointed with a good kitchen and a nice view to the ferry harbour. The location is excellent as the Gärdet metrostation is near, in the neighbouring area there are also grocery shops and lots of parks and other green areas. The host was welcoming, nice and friendly and always ready to help."
763407,22524549,2014-11-09T00:00:00.000Z,"A great experience and a warm hospitality. Gabriella is a perfect host. The apartment is a small gem, located in a perfect position, a quiet area at walking distance from the city center. Very elegant, we will definitively recommend it. Grazie Gabriella."
1182616,34614149,2015-06-09T00:00:00.000Z,"Room is nice!!!
loccated right near centre of stockholm!
Flat very clean kitchen made very usefull
bath clean also included towels and other shits its nice 
Peter owner is very cool man he is pretty good 
i like this flat and room"
283446,89784794,2016-07-30T00:00:00.000Z,"Vidha and her family were the perfect hosts, they helped me feel at home in Stockholm, the food they cooked was great and the apartment was spacious, clean, and conveniently located. They even packed me a lunch for my train trip down to Germany. Would highly recommend!"
700113,51727415,2015-10-24T00:00:00.000Z,I had a very nice ~1-month visit to Stockholm and thoroughly appreciated staying in this small apartment. I would consider staying there again. It is within walking distance of the university and many restaurants. The host is also very nice.
819676,140685335,2017-03-31T00:00:00.000Z,"We stayed for 2 nights here and really enjoyed our stay! Andy was warm, welcoming, and very nice to talk to. Communication was excellent, he always responded to any questions right away. This AirBnB is in an excellent location and very central. Andy allowed us to drop our bags early and made everything so easy. The room is cozy, the penthouse overall is a very clean and beautiful space. Highly recommend and would stay again if we are in Stockholm."
313195,36332330,2015-06-27T00:00:00.000Z,"David was a great host, always looking to help and provide us with all that we needed.

It's really easy to access the center of the city from the flat either via bus, metro or even walking.

Overall, we had a great experience in Stockholm and David helped it to happen.

So thanks to him and good luck to him and his future guests.

Anis"
536283,6308313,2013-08-07T00:00:00.000Z,We spent an enjoyable few days in beautiful Stockholm. Paolo's apartment was the perfect base of operations for our exploration of Södermalm's many great cafes and restaurants.
1231897,95302780,2016-08-19T00:00:00.000Z,"Staying with Alex was our first airbnb experience - it was awesome! Alex had some good tips for us about what to see and how to get around and was a really great host. The room was very nice too, very comfy bed! Thanks a lot, Alex! :)"
1182616,150198125,2017-05-07T00:00:00.000Z,"Peter's appartment is nicely situated in Stockholm, about 10 minutes walking from the city center. The appartment is not very new but fine. The bed is comfortable and the balcony is surely wonderful in summer. However, we were surprised to find six other people were staying in the two other rooms in the three-room appartment. This meant that we had to wait for about an hour to shower each morning. This situation could have been made more clear in the advertisement. The appartment feels more like a hostel. Additionally, if you are a light sleeper, then watch out because the walls are quite thin and with so many people there is some noise. Concluding, it is an okay appartment in a good location but with too many guests."
1228583,343913595,2018-11-02T00:00:00.000Z,Great apartment for our stay in Stockholm. The location is convenient to the metro and bus plus Linda gave some great recommendations and local tips.
1182616,84045952,2016-07-05T00:00:00.000Z,Communication with Peter worked well although we were not able to meet him personally. The apartment is located very close to the city hall and Gamla stan.
624886,285608802,2018-07-04T00:00:00.000Z,Très bel appartement. Hôte très accueillant. Nous avons beaucoup apprécié notre séjour.
1170766,13475684,2014-05-28T00:00:00.000Z,"Our stay at Annika's studio was great!  Clean, great location, warm welcome and available if we had any questions.  Would highly recommend!"
608672,154737474,2017-05-26T00:00:00.000Z,"Great place in the Norrmalm downtown area.  Clean, easy to find, and cozy!  I loved the little park a block away"
1303522,44538098,2015-08-27T00:00:00.000Z,"We were really confortable during our stay. Fantastic communication with public transport. The apartment included everything that we needed. Camila was a nice amphitryon! The next time that we traveled to stockholm, we will go back at the same apartment."
