,listing_id,id,date,reviewer_id,reviewer_name,comments
1,145320,156423122,2017-05-30,123386382,Erwin,Prima plek om Stockholm te bekijken. Alles is beloopbaar. 
2,145320,170211906,2017-07-15,123091743,Anne,"Cosy and clean flat in quiet neighbourhood close to both Gamla Stan, 'SoFo' AND a great beach! Very nice host who was very helpful with information before our visit.  We stayed for one week - two adults and two kids. Best recommendations :-)"
3,145320,172169175,2017-07-20,78004,Patricia,The host canceled this reservation 37 days before arrival. This is an automated posting.
4,145320,176647581,2017-07-31,103178743,Charlotte,Kim's place was outstanding and comfortable. We very much enjoyed staying here and communication with Kim was fantastic.
5,145320,185676021,2017-08-22,4023961,Alexander,great spacious apartment in a nice residential neighborhood not far away from the city center. we had a very pleasent stay at Kim´s place
6,145320,189668224,2017-09-02,142869362,Heiko,"Kim is a very friendly person.A lot of advice for me and my frienThe house is in the centre of the city, very convenient. The only disadvantage is that space is too small for two people."
7,145320,191894030,2017-09-09,25194419,Jason,The apartment is cost and Kim was a terrific host full of great recommendations.
8,145320,193316070,2017-09-13,52056015,David,"Nicely appointed, in a great location, with a lovely host."
9,145320,196760607,2017-09-24,3980456,Janne,It was a pleasure staying at Kim’s apartment in södermalm - great location and a very spacious place with great personality. We loved it.
10,145320,201885633,2017-10-09,72139946,Florence,"Kim's place is simply amazing, it was such a comfort going therr after long days walking under the cold rain! Everything is very cozy and practical. The apartment itself is ideally located in trendy Södermalm, super close to bars, restaurants, and the historic center Gamla Stan. Kim herself is very nice and gave us great tips on what to do and where to eat."
11,145320,203410181,2017-10-15,23002655,Charlie,We absolutely loved Kim's place and had a great time exploring beautiful Stockholm. The apartment is roomy with a good taste of decorations. It's also centrally located with easy access to the subway and buses and only 20 min on foot to Gamla Stan/old town. Although we didn't get to meet Kim in person but she managed check-in and check-out super smooth and was so nice to leave the lights on for us as we arrived late in the evening. Thanks again for your hospitality again Kim!
12,145320,210619953,2017-11-10,3451329,Natalia,"Amazing place to stay, flat was clean, spacious and cosy. Close to center! Kim made sure that everything is ok with us. Great host!"
13,145320,211523951,2017-11-13,105945750,Ainhoa,"Very pleasant stay. We recommend it!!

Kim is very likeable and the flat is in a good location, very easy to arrive."
14,145320,212932349,2017-11-19,203826,Fe,"We had a wonderful time during our short stay at Kim's house. She made us feel very welcome and comfortable. The communication was easy at all times. She even bought us juice, coffee and bread so we had breakfast next morning (after arriving late at night at her apartment)! We totally recommend her place. Thank you, Kim!"
15,145320,214018139,2017-11-24,70756436,Marcel,"Great location! Cozy place, amazing inside infos and hospitality! Thx u kim!"
16,145320,216533345,2017-12-04,10655526,Shannon,"Lovely flat in a great part of town - lots of coffee shops, boutiques and bars. We didn't get a chance to meet Kim, but she made our stay very easy ! Thanks Kim "
17,145320,219021131,2017-12-16,29246547,Dan,"Kim’s flat is in a wonderful place in Stockholm, in an area just south of Old Town. The neighborhood is so close to everything you’d want (museums, shopping, food), but it’s also so quiet, so safe, and so clean. Kim herself is a very friendly and impressive woman, and was a warm and thoughtful host. When we come back to Stockholm, we’ll definitely hope to stay here again!"
18,145320,231273225,2018-01-31,160717975,Sam,"I would definitely recommend Kim's place for anyone wanting to stay near the city in a nice comfortable place. Close to the subway, 3 stops from the Central station, close to shopping markets. Kim provided good instructions and was very quick to respond to emails. She also gave some recommendations of things to do in the area, can't comment on that however as I was too busy to actually check them out.

What to expect: Very cosy interior, had a warm feeling that you can't get just anywhere. Didn't feel like I was staying in an AirBNB, felt like being in a home."
19,145320,233159940,2018-02-08,33212603,Katina,"Kim's place is perfectly located and very comfortable. She was away during my 5-day stay, but was always very responsive in answering questions and providing advice."
20,145320,234271335,2018-02-12,160422715,Kensuke,The flat is so comfortable and Swedish style. This is a 2 minutes walk from nearest station. It is so easy to live because the design of the room makes me feel relaxed. I wanna stay there again if I visit in Stockholm.
21,145320,238617249,2018-02-26,171567489,Nilgun,"It was great time at Kims place, friendly and warmest welcome, and great location."
22,145320,243805181,2018-03-17,170781019,Joseph,"Kim was super friendly, communicative, and welcoming, and the apartment is lovely and in a great location!"
23,145320,244964347,2018-03-20,16469934,Eugenio,"Kim is a wonderful host and a lovely person. We could not have asked for a better host. Her recommendations were excellent and she was always quick to respond and made sure we felt right at home. The apartment has everything you might need for your stay. It is located within walking distance to public transportation, restaurants, bars, yet somehow feels a little secluded, which is great. Would definitely recommend staying here."
24,145320,250191884,2018-04-04,113793451,Jesse,"What an incredibly great location with even better hospitality, could not have asked for a better place."
25,145320,255613837,2018-04-21,11689674,Sebastian,"We stayed one week in Stockholm. Kim was a great host and we had a great time staying at her apartment. The private room was small, but we could use the complete apartment and often relaxed on the nice chairs in the living room. Kim's kitchen has everything you need to cook meals and we had our own space in the fridge.
The location of the apartment is indeed very central. It was a perfect starting point to explore the city walking or by public transport. Restaurants, bars, and parks can be reached within a few minutes of walking distance."
26,145320,262324560,2018-05-08,24114569,Aymeric,"Notre séjour chez Kim était parfait, de l’accueil à l'arrivée jusqu'au départ, l'appartement est bien placé dans la quartier à la mode de Stockholm. L'appartement est propre, la chambre confortable et tout est fait pour que l'on se sente à l'aise. En résumé c'est un endroit parfait pour passer un weekend à Stockholm réussi."
27,145320,263616667,2018-05-12,178111737,Brian,"The place was great, close to shops and the metro. Kim was a great host and we had a great time. There was a lot to good and everything was really close by."
28,145320,266040511,2018-05-19,86001838,Jinju,"Best host, best house, recommended here! Thank you kim!"
29,145320,267677547,2018-05-22,97955787,Tammy,"A great host! The place is close to the city centre with easy access and a safe area. Kim is organised and quick at responding, also gave great tips about local places."
30,145320,268473313,2018-05-25,177556525,Brittany,The host canceled this reservation 70 days before arrival. This is an automated posting.
31,145320,268908833,2018-05-26,99271530,Kali,"Kim's home is very close to Stockholm, and it was a great place for us to stay in order to quickly reach the city on foot (about 20 min). Our check-in was a bit rough as she forgot to send us the directions to her home, but I believe that we were a special case and that this does not usually happen. The beds were quite comfortable; however, it gets a bit cold at night because the windows and doors in the home are always open. Kim allows guests to use the entire house which is very nice, and her kitchen is the cutest area. Kim is also very kind and friendly. Overall, we enjoyed our experience there and would recommend staying here for a short trip!"
32,145320,269848901,2018-05-28,66517089,Amit,"Kim has a wonderfully funky space in the heart of Södermalm!  I found her location knowledge and recommendations to be invaluable.  Kim's apartment is quiet and cozy, and I loved the small terrace with hammock."
